source,target,data_mb,data_bytes,files
individualsid0000004,individualsmergeid0000026,0.027995000,27995,chr1n-3001-4001.tar.gz
individualsid0000005,individualsmergeid0000026,0.027950000,27950,chr1n-4001-5001.tar.gz
individualsid0000006,individualsmergeid0000026,0.028160000,28160,chr1n-5001-6001.tar.gz
individualsid0000007,individualsmergeid0000026,0.027865000,27865,chr1n-6001-7001.tar.gz
individualsid0000001,individualsmergeid0000026,0.028099000,28099,chr1n-1-1001.tar.gz
individualsid0000002,individualsmergeid0000026,0.027929000,27929,chr1n-1001-2001.tar.gz
individualsid0000003,individualsmergeid0000026,0.027729000,27729,chr1n-2001-3001.tar.gz
individualsid0000008,individualsmergeid0000026,0.028203000,28203,chr1n-7001-8001.tar.gz
individualsid0000009,individualsmergeid0000026,0.027622000,27622,chr1n-8001-9001.tar.gz
individualsid0000015,individualsmergeid0000026,0.027978000,27978,chr1n-14001-15001.tar.gz
individualsid0000016,individualsmergeid0000026,0.028662000,28662,chr1n-15001-16001.tar.gz
individualsid0000017,individualsmergeid0000026,0.027879000,27879,chr1n-16001-17001.tar.gz
individualsid0000018,individualsmergeid0000026,0.028074000,28074,chr1n-17001-18001.tar.gz
individualsid0000011,individualsmergeid0000026,0.027928000,27928,chr1n-10001-11001.tar.gz
individualsid0000012,individualsmergeid0000026,0.027880000,27880,chr1n-11001-12001.tar.gz
individualsid0000013,individualsmergeid0000026,0.028081000,28081,chr1n-12001-13001.tar.gz
individualsid0000014,individualsmergeid0000026,0.028030000,28030,chr1n-13001-14001.tar.gz
individualsid0000019,individualsmergeid0000026,0.027605000,27605,chr1n-18001-19001.tar.gz
individualsid0000010,individualsmergeid0000026,0.027611000,27611,chr1n-9001-10001.tar.gz
individualsid0000022,individualsmergeid0000026,0.028040000,28040,chr1n-21001-22001.tar.gz
individualsid0000023,individualsmergeid0000026,0.028089000,28089,chr1n-22001-23001.tar.gz
individualsid0000024,individualsmergeid0000026,0.027570000,27570,chr1n-23001-24001.tar.gz
individualsid0000025,individualsmergeid0000026,0.027984000,27984,chr1n-24001-25001.tar.gz
individualsid0000020,individualsmergeid0000026,0.027685000,27685,chr1n-19001-20001.tar.gz
