source,target,data_mb,data_bytes,files
alignmenttoreferenceid0000001,sortsamid0000002,0.112561000,112561,20200407-151427-USB-001_aligned_reads.sam
sortsamid0000002,dedupid0000003,0.164000000,164000,20200407-151427-USB-001_sorted_reads.bai|20200407-151427-USB-001_sorted_reads.bam
dedupid0000003,addreplaceid0000004,0.164893000,164893,20200407-151427-USB-001_deduped_reads.bai|20200407-151427-USB-001_deduped_reads.bam
addreplaceid0000004,realigntargetcreatorid0000005,0.165379000,165379,20200407-151427-USB-001_addrepl.bai|20200407-151427-USB-001_addrepl.bam
addreplaceid0000004,indelrealignid0000006,0.165379000,165379,20200407-151427-USB-001_addrepl.bai|20200407-151427-USB-001_addrepl.bam
realigntargetcreatorid0000005,indelrealignid0000006,0.000040000,40,20200407-151427-USB-001_intervals.list
indelrealignid0000006,haplotypecallerid0000007,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000008,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000009,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000010,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000011,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000012,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000013,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000014,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000015,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000016,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000017,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000018,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000019,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000020,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000021,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000022,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000023,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000024,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000025,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
indelrealignid0000006,haplotypecallerid0000026,0.166977000,166977,20200407-151427-USB-001_indel_realigned.bai|20200407-151427-USB-001_indel_realigned.bam
alignmenttoreferenceid0000027,sortsamid0000028,0.112561000,112561,20200407-151427-USB-002_aligned_reads.sam
sortsamid0000028,dedupid0000029,0.164000000,164000,20200407-151427-USB-002_sorted_reads.bai|20200407-151427-USB-002_sorted_reads.bam
dedupid0000029,addreplaceid0000030,0.164893000,164893,20200407-151427-USB-002_deduped_reads.bai|20200407-151427-USB-002_deduped_reads.bam
addreplaceid0000030,realigntargetcreatorid0000031,0.165379000,165379,20200407-151427-USB-002_addrepl.bai|20200407-151427-USB-002_addrepl.bam
addreplaceid0000030,indelrealignid0000032,0.165379000,165379,20200407-151427-USB-002_addrepl.bai|20200407-151427-USB-002_addrepl.bam
realigntargetcreatorid0000031,indelrealignid0000032,0.000040000,40,20200407-151427-USB-002_intervals.list
indelrealignid0000032,haplotypecallerid0000033,0.166977000,166977,20200407-151427-USB-002_indel_realigned.bai|20200407-151427-USB-002_indel_realigned.bam
indelrealignid0000032,haplotypecallerid0000034,0.166977000,166977,20200407-151427-USB-002_indel_realigned.bai|20200407-151427-USB-002_indel_realigned.bam
indelrealignid0000032,haplotypecallerid0000035,0.166977000,166977,20200407-151427-USB-002_indel_realigned.bai|20200407-151427-USB-002_indel_realigned.bam
indelrealignid0000032,haplotypecallerid0000036,0.166977000,166977,20200407-151427-USB-002_indel_realigned.bai|20200407-151427-USB-002_indel_realigned.bam
indelrealignid0000032,haplotypecallerid0000037,0.166977000,166977,20200407-151427-USB-002_indel_realigned.bai|20200407-151427-USB-002_indel_realigned.bam
indelrealignid0000032,haplotypecallerid0000038,0.166977000,166977,20200407-151427-USB-002_indel_realigned.bai|20200407-151427-USB-002_indel_realigned.bam
